x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.65441936,4324.077,3.508537,9.2745285,0.1602686,0.09165664,0.07515944,0.05433745
0.7484098,1913.4484,0.8028105,3.3727264,0.086922884,0.09555102,0.069321536,0.07907287
0.74860376,1847.5292,0.7452097,3.348038,0.08621916,0.10162471,0.066617645,0.08347115
0.7480945,1878.2311,0.7924315,3.4639225,0.08908753,0.09396655,0.07406948,0.09081502
0.7440735,1383.9833,0.9545659,0.8734589,0.07445793,0.0899203,0.07443356,0.11164959
0.620125,5308.579,3.1232047,9.422551,0.0725183,0.082393326,0.081944525,0.07546366
0.6017581,6006.9873,3.6298022,9.369229,0.072717726,0.08025216,0.0774573,0.07609057
0.7464719,2227.8572,1.4725246,7.332227,0.08818638,0.0758865,0.07467357,0.05796995
0.60026264,5177.559,0.2768852,5.404153,0.14385235,0.12048167,0.11519667,0.1097893
0.64304274,3898.025,0.40236,5.970636,0.14730887,0.2030265,0.15327285,0.059710305
0.6487258,3211.5298,4.007716,3.549742,0.15017973,0.08244896,0.06087421,0.066769965
0.66173834,2761.0154,4.2728653,2.6585486,0.16910753,0.0877787,0.053164124,0.077218115
0.60659146,4441.6074,1.5398726,4.439718,0.20158024,0.15635839,0.06227982,0.089199476
0.6877002,2876.1587,2.5958252,4.8606353,0.10340969,0.12591057,0.11568046,0.058396496
0.6628349,3040.4463,2.2626412,4.2878222,0.059938874,0.055057596,0.05098536,0.100217335
0.6950085,2890.8108,2.2396874,6.3631115,0.0720433,0.15493333,0.13764988,0.051187165
0.6854873,3633.0713,1.4404454,9.785553,0.07823458,0.056544174,0.051454138,0.07878102
0.65821403,3889.4265,2.9905946,8.140572,0.09073244,0.06460233,0.07530117,0.063005134
0.68248075,3590.3645,1.162208,9.271946,0.099779226,0.13422531,0.08946067,0.077462345
0.6658808,3971.9753,0.52530783,9.237029,0.07125935,0.09831765,0.062206246,0.075091034
0.763554,2139.7153,0.6129146,8.870397,0.07942489,0.13152868,0.07260142,0.14162646
0.59138405,4509.461,1.4589111,3.7567418,0.08011366,0.06873705,0.09325619,0.09632611
0.7760984,1723.0116,0.9270916,4.804169,0.13625345,0.1765046,0.09323192,0.084689304
0.7852773,1677.1871,0.83395714,5.3634863,0.13404159,0.16218737,0.092373066,0.09049363
0.7202925,1702.7413,1.1857313,1.8202761,0.13450183,0.14115478,0.067422345,0.10939467
