,x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.6298616528511047,3171.85009765625,1.6135077476501465,4.269595623016357,0.09664980322122574,0.10457006841897964,0.09213951230049133,0.09181626886129379
std,0.0614529624581337,1156.7618408203125,1.0905251502990723,3.4296703338623047,0.06665273010730743,0.06906280666589737,0.062133364379405975,0.06899511069059372
min,0.35564446449279785,1004.8107299804688,0.001323256641626358,0.010143822059035301,0.01764323003590107,0.021262094378471375,0.020539257675409317,0.017640016973018646
5%,0.5166361927986145,1446.6367919921875,0.13207467943429949,0.19282568991184235,0.03780053649097681,0.0381823368370533,0.03664107546210289,0.03129625730216503
50%,0.6383269131183624,3124.8082275390625,1.4696173071861267,3.4108678102493286,0.07526670396327972,0.08418238535523415,0.0724262185394764,0.07111138105392456
95%,0.7146974056959152,5202.736181640625,3.6968329906463606,10.843395423889156,0.2285705596208572,0.24057851582765577,0.2125268772244453,0.2288547448813915
max,0.847744882106781,8806.7802734375,6.421456336975098,11.990874290466309,0.7862868309020996,0.7167297601699829,0.6964476108551025,0.7280579805374146
