x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.66163456,4071.1577,0.66095775,8.032749,0.090187415,0.08863565,0.07861053,0.07667825
0.69609976,3199.225,1.2997239,7.5752716,0.108010374,0.098579764,0.08192474,0.09872138
0.6967934,3154.0825,1.2426012,7.7660284,0.1075662,0.10151562,0.08058789,0.10088937
0.68448097,3446.3125,1.7842106,7.799453,0.11917731,0.071857825,0.103126034,0.117173925
0.6606189,4221.9565,1.7121322,9.852269,0.13490373,0.08031282,0.09640202,0.08618907
0.6573906,2839.8508,2.3926935,2.4808493,0.08372961,0.095645584,0.080564745,0.061609693
0.75614756,1546.2688,0.5322602,1.6366701,0.11205307,0.096726544,0.087489575,0.074907005
0.7275368,1761.358,0.88977605,1.917996,0.10530132,0.10142684,0.08474497,0.08509661
0.73531264,1544.4166,0.44692394,1.3358817,0.115060166,0.098280035,0.07243401,0.085281886
0.7345326,1897.7179,0.72147894,2.496927,0.118667774,0.15692295,0.09552343,0.047222476
0.74626225,1904.8141,0.51680434,3.0217018,0.1149378,0.16816352,0.097548634,0.05169521
0.5795283,2237.0596,0.6399876,0.57391775,0.07668536,0.056033656,0.09156746,0.09083675
0.58692014,2142.8103,0.8408705,0.54086596,0.09522265,0.08640737,0.07381692,0.09398438
0.6340071,2119.1333,3.3884773,0.8589915,0.09735541,0.10500243,0.10741881,0.06416058
0.61876583,2376.17,2.3721898,1.005308,0.108241044,0.12030735,0.113279104,0.058110196
0.6206383,2329.2751,2.2414153,0.9350659,0.111327805,0.11792426,0.112178646,0.05941323
0.663557,4354.2417,1.8671038,11.097337,0.096892476,0.10535031,0.0604892,0.08829279
0.6440397,4874.0464,3.1863713,9.961347,0.106973216,0.073511794,0.066068724,0.06525603
0.66958356,3623.1191,0.8265231,6.9673643,0.111635804,0.13085397,0.08577573,0.06862919
0.67448825,3502.4824,1.1791387,6.9768248,0.117899716,0.12833428,0.087575115,0.066605434
0.72599506,1674.4504,1.1589622,1.3366706,0.107474886,0.12830265,0.07473384,0.10772637
0.72483116,2214.9746,1.4057136,3.3731742,0.100917086,0.09253733,0.07932434,0.09432341
0.6331099,3575.7966,3.3765206,3.5130715,0.09945207,0.10400839,0.106155574,0.06574352
